"College_code","Dept","1G","1K","1R","2AG","2AK","2AR","2BG","2BK","2BR","3AG","3AK","3AR","3BG","3BK","3BR","GM","GMK","GMR","SCG","SCK","SCR","STG","STK","STR"
"E237","CS","48255","90485","59389","48660","78645","90290","48656","108402","75711","35960","--","61768","45397","58877","47795","33835","56225","44893","73332","136103","175744","56838","--","65105"
"E237","CY CS- Cyber
Security","58488","--","--","67891","--","--","56487","--","--","54351","--","--","63738","--","114191","48282","160992","99061","159342","--","--","79518","--","--"
"E237","DS Comp. Sc. Engg-
Data Sc.","73504","--","--","66903","--","--","55513","--","--","47153","--","--","50343","--","144249","43020","66168","97519","110103","--","--","60116","--","--"
"E237","EC","154010","--","--","149528","--","--","110280","--","161668","75270","--","163965","104911","--","156251","72416","132877","154497","179896","--","--","112507","--","--"
"E237","EE","--","--","--","--","--","--","159955","--","--","178152","--","--","--","--","--","159810","--","170887","165287","--","--","181669","--","--"
"E237","IS","49782","--","--","58694","--","100458","51788","--","--","43394","--","63060","49967","97110","--","42045","68288","60667","96661","--","--","69875","--","--"
"E237","IO CS- Internet of
Things","71714","--","--","88648","--","182216","70804","--","--","70722","--","--","69933","--","--","64011","--","128324","177603","--","--","94595","--","--"
"E237","IS Information Sc.
and Tech.","57734","--","--","70984","--","--","48985","--","--","52868","--","--","45107","--","--","42792","153520","78344","100191","--","--","--","--","144004"
"E237","LC CS- Block Chain","118730","--","--","75955","--","137266","72805","--","--","65737","--","--","75261","--","--","57422","--","77499","135910","--","--","--","--","--"
"E237","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","166942","--","--","--","--","--","--","--","--"
"E237","OP Comp. Sc. Engg-
Dev Ops","125657","--","--","77851","--","--","60369","--","--","68609","--","--","63650","--","--","56872","--","121880","144005","--","--","--","--","--"
"E237","PL Petroleum
Engineering","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","171876","--","--","--","--","--","--","--","--"
"E238","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","143590","--","--","--","--","--","--","--","--"
"E238","CS","116058","--","--","144932","--","--","102615","--","--","85221","--","--","80740","--","177701","79085","80123","95534","168860","--","--","126613","--","--"
"E238","EC","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","161062","--","--","--","--","--","--","--","--"
"E238","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E239","AE","107828","--","--","170620","--","--","166895","--","--","164457","--","--","157714","--","--","102936","--","170390","125594","--","--","--","--","176095"
"E239","CS","49220","--","--","59543","--","--","71053","--","--","44610","--","66791","47162","--","--","40994","50951","46797","64257","--","--","--","--","--"
"E239","EA Agriculture
Engineering","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","179889","--","--","--","--","--","--","--","--"
"E239","EC","147282","--","--","181732","--","--","--","--","--","99041","--","--","128930","--","--","98215","--","100634","181841","--","--","165317","--","--"
"E239","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E240","CA CS (AI, Machine
Learning)","26809","--","101496","30258","--","176826","41577","--","--","25869","--","--","30399","--","--","25087","77363","45972","79696","--","--","37234","--","--"
"E240","CG Computer
Science and Tech","49236","--","--","39092","--","--","37081","--","--","38165","--","54441","38826","--","--","29739","--","36372","86323","--","--","--","--","--"
"E240","CS","37660","46310","47313","34109","41979","46443","36202","--","40463","29178","--","37336","30150","34681","43764","22630","33324","34126","64240","80073","137942","50324","--","54779"
"E240","CY CS- Cyber
Security","42648","--","--","42158","--","51339","--","--","--","--","--","--","34842","--","--","26481","85441","38994","90025","--","107802","41389","--","--"
"E240","DS Comp. Sc. Engg-
Data Sc.","36610","--","--","35050","--","--","41947","--","--","30646","--","--","28084","--","--","26464","--","45897","103467","--","--","--","--","114829"
"E240","EC","64637","--","138852","72826","--","139716","74377","--","153117","46355","--","83611","51816","--","89364","40911","102800","74573","157293","--","--","79856","--","--"
"E240","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","164824","--","--","--","--","--","--","--","--"
"E240","SE Aero Space
Engg.","34712","--","--","47015","--","--","73701","--","--","36696","--","--","47902","--","--","28844","--","75067","150753","--","--","72869","--","--"
"E241","BT","101396","--","--","47424","--","--","45471","--","--","43943","--","--","31143","--","--","28622","--","30383","70404","--","160865","--","--","158928"
"E241","CV","68992","177214","--","95442","--","--","73512","--","--","49034","--","--","54190","--","--","45872","--","66056","75627","--","--","--","--","--"
"E241","CF CS(Artificial
Intel.)","11841","--","--","10705","--","--","11318","--","--","7325","--","--","--","--","--","6684","18595","12948","34410","--","--","--","--","61173"
"E241","CS","11134","--","13757","9206","10744","11447","10714","--","21324","6769","--","11527","5960","--","12738","4544","7786","9653","26334","28467","33904","16572","--","--"
"E241","EC","15514","--","57606","17856","18570","38795","19365","--","--","15050","--","--","13767","--","19583","12295","14354","19189","37046","44674","76238","27652","--","--"
"E241","EE","49533","--","--","32841","--","64237","22377","--","--","37318","--","--","26241","40603","--","22173","--","35059","72347","--","--","102224","--","--"
"E241","II EC -Industrial
Integrated","84980","--","--","39922","--","--","31700","--","--","24481","--","--","25766","--","--","23198","45153","56721","119276","--","--","65092","--","--"
"E241","ME","80614","--","--","117011","--","--","56216","--","--","51485","--","--","56880","--","--","50984","63264","102822","158270","--","--","121935","--","--"
"E241","RO Auto. And
Robot.","--","--","--","45343","--","--","33675","--","--","89581","--","--","35263","--","--","27621","--","61064","120525","--","--","--","--","--"
"E252","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","183210","--","--","--","--","--","--","--","--"
"E252","CS","72050","--","--","95491","--","--","95363","--","--","68696","--","--","75654","--","--","67647","--","94962","115025","160493","--","--","--","--"
"E252","EC","--","--","--","171050","--","--","--","--","--","160029","--","--","149253","--","--","140352","143124","145045","180600","--","--","161952","--","--"
"E252","IS","109721","--","--","116554","--","--","--","--","--","90043","--","--","116583","--","157402","83763","--","153500","177052","--","--","120851","--","--"
"E252","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E254","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","175951","--","--","--","--","--","--","--","--"
"E254","CS","56788","--","--","60685","--","65530","76150","--","--","68782","--","--","46150","--","--","44419","--","45849","171954","--","--","--","--","--"
"E254","EC","--","--","--","181226","--","--","155721","--","--","--","--","--","152723","--","--","143871","154082","151561","153827","--","--","--","--","--"
"E254","IS","--","--","--","74348","81606","79717","--","--","--","--","--","--","65866","--","--","58836","--","62051","170501","--","--","62479","--","--"
"E254","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","175680","--","--","--","--","--","--","--","--"
"E255","CA CS (AI, Machine
Learning)","69339","--","--","84054","--","--","80540","--","--","63422","--","--","87968","--","--","62813","--","109174","179418","--","--","92534","--","--"
"E255","CB Comp. Sc. and
Bus Sys.","90555","--","--","115096","--","--","--","--","--","73817","--","--","97774","--","--","72666","101886","110960","--","--","--","166372","--","--"
"E255","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","177381","--","--","--","--","--","--","--","--"
"E255","CS","73286","--","89193","62162","120232","143184","66675","--","--","53663","--","--","53075","--","73955","46056","95475","70900","164489","--","--","84092","--","--"
"E255","CY CS- Cyber
Security","83875","--","--","54334","--","127949","81561","--","--","--","--","--","58597","--","--","54119","--","61717","156694","--","--","--","--","--"
"E255","DS Comp. Sc. Engg-
Data Sc.","82894","--","--","101574","--","171113","77391","--","--","68494","--","--","88113","--","--","65054","--","96804","158879","--","--","85278","--","--"
"E255","EC","164461","--","--","139094","--","--","121252","--","--","107743","--","--","174287","--","--","95754","--","146914","177826","--","--","113558","--","--"
"E255","EE","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","149890","--","--","--","--","--","--","--","--"
"E255","IO CS- Internet of
Things","--","--","--","125141","--","--","--","--","--","--","--","--","100637","--","--","76683","146825","142594","--","--","--","--","--","--"
"E255","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","120940","--","--","--","--","--","--","--","--"
"E257","CC Computer and
Comm. Engg.","79084","--","--","121419","--","155941","111819","--","--","77354","--","--","--","--","--","74421","137331","97731","181112","--","--","88924","--","--"
"E257","CS","53322","--","74498","61638","71430","86312","57324","--","99773","45430","--","64540","48447","--","67668","38961","52317","60687","105929","155151","167436","73820","--","--"
"E257","EC","127385","--","--","158852","--","--","126102","--","--","74431","--","--","89533","--","--","74299","113878","95412","130110","--","--","134244","--","--"
"E257","ES Electronics and
Computer","--","--","--","162226","--","--","122016","--","--","120607","--","--","134444","--","--","113708","--","--","169778","--","--","--","--","--"
"E257","IG Information
Technology","125875","--","--","95384","--","170371","69682","--","--","61683","--","146616","73738","--","--","61230","77691","144164","149033","--","--","86004","--","--"
"E257","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E258","AD Artificial
Intel, Data Sc","144749","--","--","79438","--","155146","--","--","--","68471","--","--","74396","--","--","67655","101546","120181","131427","--","--","76330","--","--"
"E258","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","178614","--","--","--","--","--","--","--","--"
"E258","CS","--","--","--","44328","--","--","42280","--","--","46964","--","60886","42857","--","--","39584","39802","57640","67104","--","--","56282","--","--"
"E258","EC","98189","--","--","112998","118763","--","--","--","--","72743","--","--","77634","--","124245","68318","--","94671","136668","--","--","--","--","--"
"E258","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","179782","--","--","--","--","--","--","--","--"
"E260","UP Planning","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","165128","--","--","--","--","--","--","--","--"
"E263","UP Planning","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","128600","--","--","--","--","--","--","--","--"
"E265","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","179846","--","--","--","--","--","--","--","--"
"E265","CS","63942","--","--","47018","--","90270","38279","--","--","39348","--","--","39393","--","66279","38087","41097","48039","72791","115925","173569","58477","--","--"
"E265","EC","86901","--","117961","56662","93335","--","46935","--","--","91955","--","--","50755","--","--","43528","70353","50615","95330","--","--","--","--","--"
"E265","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E269","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E269","CS","46925","--","--","73963","--","95340","51738","--","--","70305","--","--","44988","--","58842","44385","46552","58308","117728","--","--","107178","--","--"
"E269","EC","172384","--","--","102727","132533","--","71646","--","--","100575","--","--","65854","--","--","65562","--","95256","169059","--","--","--","--","--"
"E269","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E272","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","181987","--","--","--","--","--","--","--","--"
