College_code,Dept,1G,2AG,2AR,2BG,3AG,3AR,3BG,GM,GMK,GMR,SCG,SCR,STG,STR,1R,2AK,2BR,3BR,SCK,3BK,2BK,STK,1K,3AK
E009,EC,14513.72,10366.19,16891.83,11909.1,6449.62,9666.49,8109.79,5488.45,16589.07,9034.21,41736.02,68622.27,38870.63,,16212.44,25016.46,25198.16,11903.11,55277.02,,47120.7,,,
E009,EE,30047.74,26942.6,50368.22,28389.2,20089.04,,23675.46,16455.7,40328.04,23931.53,65137.36,104968.3,63162.12,,,,,,,,,92816.62,,
E009,ME,,37263.11,,,37378.62,,55904.42,30884,104730.38,44184.86,101315.47,,112293.11,,,,,,,,,,,
E011,AE,,182377.48,,128810.9,117061.86,,126052.82,141966.77,159521.58,141709.92,179251.9,,162047.3,,,,,,,,,,,
E011,AI,35325.34,35794.43,,,36762.02,,34118.42,30903.47,59241.4,36064.54,74386.4,,67324.81,133141.52,,,,,,,,,,
E011,CD,68211.46,57561.18,70448.62,56312.66,38394.34,,50325.57,38832.5,,49807.71,95831.24,,,,,,,,,,,,,
E011,CV,,,,,,,,183610.86,,,,,,,,,,,,,,,,
E011,CH,,,,,,,,182392.4,,,,,,,,,,,,,,,,
E011,CS,30664.11,29470.23,31867.67,27793.99,24358.93,,23843.27,22088.3,26944.15,27276.51,52400.71,69825.28,47220.38,,39326.96,44364.36,,28420.83,72552.3,,,,,
E011,DS,33589.72,38987.86,,35697.24,33436.33,42714.1,33357.22,29518.04,,32168.93,83139.95,,111912.02,,,,,,,,,,,
E011,EC,59663.52,58016.86,67687.82,67817.88,44192.53,,48226.59,41944.38,49063.21,54213.18,117204.58,145045.82,130163.79,,,60197.2,,60475.32,,,,,,
E011,EE,,,,,,,,114768.44,,,,,,,,,,,,,,,,
E011,IS,33662.56,34921.65,36697.17,38173.16,28374.49,,28829.69,27451.12,32330.95,31892.09,73952.42,85954.68,68324.3,,,,,,,,,,,
E011,ME,,,,,,,,191910.52,,,,,,,,,,,,,,,,
E011,OT,,,,,,,,143167.38,,,,,,,,,,,,,,,,
E011,SE,131697.92,177922.2,,,,,118852.5,131405.6,,161291.38,179542.32,,160070.94,,,,,,,,,,,
E012,BT,,103010.34,,140645.24,93795.66,,82308.06,81487.46,124253.26,134873.51,125731.86,151629.02,147565.15,,,,,,,,,,,
E012,CV,,,,,,,,188691.6,,,,,,,,,,,,,,,,
E012,CS,17142.48,15981.99,19512.79,17712.76,13488.67,,14353.44,13088.52,17253.69,15668.7,36525.31,48180.06,28280.07,,,21272.4,,16774.64,49784.22,,,,,
E012,EC,29238.25,27987.93,33650.56,38140.55,24838.38,,24284.14,23620.24,26843.38,27302.21,66624.97,96275.2,62755,,,,,,,,,,,
E012,EE,68053.62,99209.5,,107428.91,64510.01,,68625.65,60997.63,80485.62,72012.49,143654.19,,127756.75,,,94895.38,,,,,,,,
E012,IS,22703.16,19416.07,24509.48,24421.57,16419.35,18676.26,16706.63,15917.2,24628.14,18716.42,53033.53,73178.62,54923.54,,,,,,,30477.94,,,,
E012,ME,,,,,,,,188999.37,,,,,,,,,,,,,,,,
E012,TC,,86434.98,,105405.74,50721.6,,64979.02,47685.96,,81931.36,157506.34,,,,,,,,,,,,,
E012,AI,23027.86,23413.4,,27991.46,19219.52,,21440.16,18445.6,26753.12,20963.48,44495.28,,,,,,,,,,,,,
E013,CS,154544.68,127916.8,,93758.9,94554.27,,113495.01,86584.61,96539.4,107594.02,136462.91,183177.46,125342.84,,,,,155800.96,,,,,,
E013,EC,,164406.64,,139920.6,,,174507.86,140140.6,,148176.12,174598.42,,,,,,,,,,,,,
E013,EE,,,,,,,,180778.5,,,,,,,,,,,,,,,,
E013,IS,,,,136621.72,,,,131523.12,,138761.68,146218.92,,,,,,,,,,,,,
E014,AE,,138145.14,,115102.57,154006.3,,156091.8,101383.86,,,114330.98,,139154.66,,,,,,,,,,,
E014,CA,55421.8,64834.89,78895.98,53479.53,45049.42,,45798.53,42486.55,,53948.78,96800.8,,,,,,,,,,,,,
E014,CV,,,,,,,,181065.75,,,,,,,,,,,,,,,,
E014,CS,48704.45,36928.77,49617.04,40159.76,30798.71,,41086.02,28313.91,48053.59,33693.56,67132.72,96616.09,48629.2,75477.46,,54063.1,,52027.96,84524.34,,,,,
E014,EC,86709.63,84875.69,92247.62,78301.35,66836.68,93141.64,97747.12,62199.74,103158.1,72655.33,132999.96,,103569.61,124338.4,,,,,,,,,,
E014,IS,84606.22,48042.11,63347.54,59329.69,39584.98,47303.66,53173.46,39306.03,57798.18,49537.58,96043.15,131373.68,98959.16,,,,,,142413.28,,,,,
E014,ME,,,,,,,,168661.56,,,,,,,,,,,,,,,,
E014,SE,,,,165243.1,117318,,,115546.03,,121480.72,,,,,,,,,,,,,,
E014,AD,51868.6,60373.38,91618.64,63662.24,52582.84,,58757.88,46219.04,,,93581.24,,,,,,,,,,,,,
E014,CD,91955.78,76499.24,,,72964.54,,80003.16,69471.86,,77245.58,133904.88,,,,,,,,,,,,,
E015,CV,,,,,,,,192770.72,,,,,,,,,,,,,,,,
E015,CS,109696.36,136267.38,,95215.23,91583.44,,102087.94,83459.06,92411.51,103169.05,140958.45,169396.56,149413.13,,,,,,,,,,,
E015,EC,,,,,,,,145382.12,,,,,,,,,,,,,,,,
E015,EE,,,,,,,,188240.25,,,,,,,,,,,,,,,,
E015,ME,,,,,,,,188192.62,,,,,,,,,,,,,,,,
